gene,chromosome,oe_lof_upper,pLI,mis_z
MED13,17,0.03,1.0,2.6232
NIPBL,5,0.032,1.0,5.5737
SMC3,10,0.037,1.0,6.3999
CNOT1,16,0.038,1.0,7.2546
RLF,1,0.04,1.0,3.462
PCF11,11,0.04,1.0,2.6592
FNDC3B,3,0.042,1.0,1.8745
TAF1,X,0.043,1.0,5.486
RSF1,11,0.044,1.0,1.7661
NCKAP1,2,0.044,1.0,4.2701
KDM2A,11,0.045,1.0,5.3101
BRD4,19,0.048,1.0,3.5856
HELZ,17,0.048,1.0,3.301
FBN1,15,0.049,1.0,5.0644
XPO1,2,0.051,1.0,6.0107
PRR12,19,0.051,1.0,2.9765
USP9X,X,0.051,1.0,6.4105
POLA1,X,0.051,1.0,1.9947
SYNGAP1,6,0.052,1.0,5.6047
PRKDC,8,0.052,1.0,2.7576
HDAC4,2,0.052,1.0,2.926
SMG1,16,0.053,1.0,3.2976
ZC3H4,19,0.054,1.0,0.65604
COL5A1,9,0.055,1.0,2.0682
SMARCA4,19,0.055,1.0,6.8459
TNPO1,5,0.056,1.0,4.3261
AGO1,1,0.057,1.0,5.6761
ARHGAP35,19,0.057,1.0,4.1633
LRP1,12,0.058,1.0,8.2463
TOP1,20,0.059,1.0,4.4734
TRIP12,2,0.06,1.0,4.6402
KMT2E,7,0.06,1.0,1.4204
HCFC1,X,0.06,1.0,5.6341
UBTF,17,0.06,1.0,4.7489
HUWE1,X,0.06,1.0,8.8732
KDM3B,5,0.06,1.0,4.9789
TRRAP,7,0.06,1.0,8.173
GRIN2B,12,0.061,1.0,5.4168
USP7,16,0.061,1.0,5.648
ATP1A3,19,0.062,1.0,6.3327
ASH1L,1,0.062,1.0,3.4699
ANKRD17,4,0.062,1.0,5.3588
SMC1A,X,0.062,1.0,6.4479
NPEPPS,17,0.062,1.0,3.9845
CHERP,19,0.062,1.0,4.2456
MED13L,12,0.064,1.0,3.691
RPRD2,1,0.064,1.0,2.1188
KMT2A,11,0.065,1.0,6.2276
CREBBP,16,0.066,1.0,3.8991
SF3B1,2,0.066,1.0,7.6987
EIF3B,7,0.067,1.0,1.8208
PPFIA1,11,0.067,1.0,1.0607
ZSWIM6,5,0.067,1.0,4.1751
PRPF3,1,0.068,1.0,3.8479
KAT6A,8,0.069,1.0,2.0718
KMT2B,19,0.07,1.0,3.4255
SIN3A,15,0.07,1.0,4.3926
CHD2,15,0.07,1.0,5.2052
ARID1A,1,0.071,1.0,3.6582
GLTSCR1L,6,0.071,1.0,1.9721
SCN1A,2,0.071,1.0,5.2206
MED12,X,0.071,1.0,6.5797
TJP1,15,0.071,1.0,1.5417
SPEN,1,0.071,1.0,2.8932
WDFY3,4,0.071,1.0,5.8174
HDAC6,X,0.072,1.0,3.2915
EHMT1,9,0.072,1.0,1.1633
JMJD1C,10,0.072,1.0,1.513
MAP3K12,12,0.072,1.0,2.9896
GGNBP2,17,0.073,1.0,3.2594
CASK,X,0.073,1.0,4.2502
TLE3,15,0.073,1.0,3.7217
CHD6,20,0.073,1.0,4.0001
UBR5,8,0.073,1.0,6.2062
EIF4G1,3,0.074,1.0,2.2233
NBEA,13,0.074,1.0,5.5108
SMARCA5,4,0.074,1.0,5.418
TSC2,16,0.074,1.0,-0.33027
SUPT5H,19,0.074,1.0,4.561
GREB1L,18,0.075,1.0,5.3659
PTCH1,9,0.075,1.0,1.6774
CHD7,8,0.076,1.0,3.2193
RAD54L2,3,0.076,1.0,3.1297
CNOT3,19,0.076,1.0,3.7642
AHDC1,1,0.076,1.0,2.8589
U2SURP,3,0.077,1.0,4.0894
RBM25,14,0.077,1.0,4.3087
GIGYF2,2,0.077,1.0,2.244
MBTD1,17,0.077,1.0,3.448
DCAF5,14,0.078,1.0,2.8802
SUV420H1,11,0.078,1.0,2.7894
RABGAP1,9,0.078,1.0,2.9624
KHSRP,19,0.078,1.0,3.83
TM9SF2,13,0.079,1.0,3.2749
MATR3,5,0.079,1.0,2.7297
PHF21A,11,0.08,1.0,2.8609
NAV1,1,0.08,1.0,4.1487
HIVEP2,6,0.08,1.0,1.8295
OGT,X,0.08,1.0,5.6667
RBBP6,16,0.08,1.0,1.4906
GTPBP4,10,0.08,1.0,0.07788
MYBL1,8,0.08,1.0,2.1291
TEX11,X,0.08,1.0,1.814
DYNC1H1,14,0.08,1.0,10.967
SBNO1,12,0.081,1.0,3.3608
THOC2,X,0.081,1.0,5.5258
PRKCB,16,0.081,1.0,3.987
INO80,15,0.081,1.0,3.5349
TAF4,20,0.081,1.0,2.6834
FLNA,X,0.082,1.0,3.7802
TRIM28,19,0.082,1.0,2.3295
CHD8,14,0.082,1.0,5.9467
RBM33,7,0.082,1.0,1.7993
SNRNP200,2,0.082,1.0,5.9363
XPO6,16,0.082,1.0,3.4849
SMARCAD1,4,0.083,1.0,3.492
FRMPD4,X,0.083,1.0,1.9503
MACF1,1,0.084,1.0,3.4344
WAC,10,0.084,1.0,1.512
BRWD3,X,0.084,1.0,4.269
C17orf104,17,0.084,1.0,1.8277
ATP2B1,12,0.084,1.0,5.2916
EIF4G2,11,0.085,1.0,2.9814
ZNF462,9,0.085,1.0,3.3514
WDR26,1,0.085,1.0,3.5843
CUL4B,X,0.085,1.0,3.7714
TRIM33,1,0.086,1.0,4.4853
STXBP1,9,0.086,1.0,4.263
TOPBP1,3,0.086,1.0,1.971
NF2,22,0.086,1.0,2.287
TET3,2,0.086,1.0,2.878
MN1,22,0.087,0.99999,2.1584
SUPT6H,17,0.087,1.0,5.1406
RP11-762I7.5,12,0.087,1.0,2.2703
NHS,X,0.087,0.99999,1.8225
RPS6KA3,X,0.087,0.99999,4.5208
MYT1L,2,0.087,1.0,4.7706
UBP1,3,0.088,0.99999,2.985
PLCL2,3,0.088,0.99999,3.3335
SPTBN1,2,0.088,1.0,4.5424
MYH9,22,0.088,1.0,3.473
ZDHHC5,11,0.088,0.99999,1.849
LUC7L3,17,0.089,0.99999,2.5831
COPB2,3,0.089,1.0,2.562
DNAJC14,12,0.089,0.99999,1.5694
RNF17,13,0.089,1.0,1.7723
ANK3,10,0.089,1.0,2.7937
F8,X,0.089,1.0,2.4669
TM9SF3,10,0.09,0.99999,3.5134
DLG3,X,0.09,0.99999,2.8769
MGA,15,0.09,1.0,1.1016
ANKRD52,12,0.09,1.0,4.4928
STAG2,X,0.09,1.0,4.938
SATB2,2,0.091,0.99999,4.0511
USP34,2,0.091,1.0,2.3403
MAP3K2,2,0.091,0.99999,2.3059
PREX1,20,0.091,1.0,3.695
MED14,X,0.092,1.0,4.1329
CYFIP2,5,0.092,1.0,6.0129
ZNF407,18,0.092,1.0,0.85896
KPNB1,17,0.092,1.0,5.9325
ETV5,3,0.092,0.99999,1.9912
CUL2,10,0.093,1.0,3.2543
HNRNPM,19,0.093,0.99999,2.7428
PIAS1,15,0.094,0.99999,2.7204
DAAM2,6,0.094,1.0,1.2724
EFTUD2,17,0.094,1.0,4.0264
YTHDC1,4,0.094,1.0,2.4773
NCBP1,9,0.094,1.0,3.5235
TCF20,22,0.095,1.0,0.089523
DLL1,6,0.095,0.99999,1.8154
UBR4,1,0.095,1.0,5.6833
STAT3,17,0.095,1.0,4.9943
IGF2BP3,7,0.095,0.99999,2.1157
NSD1,5,0.095,1.0,3.4113
SRCAP,16,0.096,1.0,2.1272
ZNF777,7,0.096,0.99998,3.0853
HNRNPK,9,0.096,0.99998,3.9922
SCAF8,6,0.096,1.0,1.8985
ARID2,12,0.096,1.0,2.7332
CCT3,1,0.097,0.99998,1.1592
COL5A2,2,0.097,1.0,2.4395
PHC3,3,0.097,1.0,1.7208
GATAD2B,1,0.097,0.99998,3.161
FBXO11,2,0.097,1.0,4.3792
NOTCH1,9,0.097,1.0,3.4451
COL3A1,2,0.098,1.0,4.0879
PPP3CB,10,0.098,0.99998,3.793
ILF3,19,0.098,1.0,2.6961
PLEKHA5,12,0.098,1.0,1.2405
ZNF521,18,0.098,1.0,2.4538
TAB2,6,0.098,0.99998,1.613
CTNND2,5,0.098,1.0,2.7736
DDX5,17,0.098,0.99998,2.7557
ACTN4,19,0.099,1.0,4.1552
UPF2,10,0.099,1.0,3.1919
CARM1,19,0.099,0.99998,4.2514
PAXIP1,7,0.099,1.0,3.283
BPTF,17,0.099,1.0,3.7096
EP300,22,0.099,1.0,2.0341
FBXL19,16,0.1,0.99997,3.8701
