"gene_name","GO_BP_Count","GO_MF_Count"
"A1BG",2,1
"A1CF",7,5
"A2M",11,14
"A2ML1",2,2
"A3GALT2",3,3
"A4GALT",4,4
"A4GNT",6,1
"AAAS",8,2
"AACS",3,3
"AADAC",3,6
"AADAT",6,7
"AAGAB",1,1
"AAK1",8,7
"AAMDC",1,1
"AAMP",4,2
"AANAT",14,4
"AAR2",1,1
"AARS2",3,6
"AARSD1",4,7
"AASDH",3,2
"AASDHPPT",4,3
"AASS",4,6
"AATF",7,5
"AATK",5,5
"ABAT",23,7
"ABCA1",37,22
"ABCA10",2,5
"ABCA12",23,10
"ABCA13",5,5
"ABCA2",30,8
"ABCA3",21,7
"ABCA4",10,14
"ABCA5",10,5
"ABCA6",2,5
"ABCA7",28,9
"ABCA8",9,6
"ABCA9",2,5
"ABCB1",15,14
"ABCB10",8,5
"ABCB11",21,8
"ABCB4",10,7
"ABCB5",5,5
"ABCB6",13,7
"ABCB7",9,8
"ABCB8",5,4
"ABCB9",5,8
"ABCC1",23,14
"ABCC10",6,7
"ABCC11",7,9
"ABCC12",1,4
"ABCC2",13,11
"ABCC3",9,11
"ABCC4",16,17
"ABCC5",14,13
"ABCC6",15,5
"ABCC8",29,11
"ABCC9",40,13
"ABCD1",24,13
"ABCD2",12,9
"ABCD3",11,8
"ABCD4",8,7
"ABCE1",6,10
"ABCF1",4,7
"ABCF3",1,4
"ABCG1",22,13
"ABCG2",14,14
"ABCG4",8,7
"ABCG5",12,8
"ABCG8",12,8
"ABHD1",3,4
"ABHD10",3,4
"ABHD11",2,4
"ABHD12",10,4
"ABHD12B",2,3
"ABHD13",2,1
"ABHD14B",2,3
"ABHD15",3,3
"ABHD16A",3,3
"ABHD16B",2,2
"ABHD17A",6,2
"ABHD17B",6,1
"ABHD17C",4,2
"ABHD2",10,6
"ABHD3",4,5
"ABHD4",5,4
"ABHD5",6,5
"ABHD6",11,3
"ABI1",9,6
"ABI2",12,9
"ABI3",11,5
"ABI3BP",2,1
"ABL1",115,26
"ABL2",19,10
"ABLIM1",5,4
"ABLIM2",2,3
"ABLIM3",6,3
"ABO",3,5
"ABR",4,3
"ABRA",5,2
"ABRACL",1,0
"ABT1",8,4
"ABTB1",1,2
"ABTB2",1,3
"ACAA1",6,6
"ACAA2",5,6
"ACACA",8,5
"ACACB",20,6
"ACAD10",2,2
"ACAD11",2,6
"ACAD8",2,3
"ACAD9",3,5
"ACADL",10,6
"ACADM",13,4
"ACADS",3,4
"ACADSB",2,5
"ACADVL",8,7
"ACAN",6,6
"ACAP1",1,3
"ACAP2",3,3
"ACAP3",2,3
"ACAT1",15,7
"ACAT2",1,2
"ACBD3",1,3
"ACBD4",1,2
"ACBD5",2,3
"ACBD7",1,2
"ACCS",2,4
"ACCSL",2,2
"ACD",16,5
"ACE",56,18
"ACE2",26,8
"ACER1",12,3
"ACER2",14,3
"ACER3",7,3
"ACHE",14,10
"ACIN1",7,5
"ACKR2",8,5
"ACKR3",14,7
"ACKR4",8,5
"ACLY",7,4
"ACMSD",5,4
"ACO1",7,9
"ACO2",6,4
"ACOT1",4,3
"ACOT11",6,5
"ACOT12",3,6
"ACOT13",3,3
"ACOT2",4,3
"ACOT4",11,3
"ACOT6",2,2
"ACOT7",7,6
"ACOT8",8,11
"ACOT9",1,4
"ACOX1",13,8
"ACOX2",3,7
"ACOX3",1,4
"ACOXL",2,5
"ACP1",1,4
"ACP2",1,2
"ACP5",14,3
"ACP6",4,2
"ACR",7,10
"ACRBP",4,1
"ACRV1",1,1
"ACSBG1",6,3
"ACSBG2",5,5
"ACSF2",3,4
"ACSF3",4,5
"ACSL1",14,7
"ACSL3",10,8
"ACSL4",11,5
"ACSL5",4,5
"ACSL6",5,6
"ACSM1",9,11
