ENSG	gene_name	median_expr_all_tissues	max_expr_all_tissues	num_tissues_at_least_5_TPM
ENSG00000223972.5	DDX11L1	0.0	0.166403	0
ENSG00000227232.5	WASH7P	3.6173599999999997	7.19001	16
ENSG00000278267.1	MIR6859-1	0.0	0.0	0
ENSG00000243485.5	MIR1302-2HG	0.0	0.0542228	0
ENSG00000237613.2	FAM138A	0.0	0.0	0
ENSG00000268020.3	OR4G4P	0.0223145	0.0535347	0
ENSG00000240361.1	OR4G11P	0.04218935	0.0775019	0
ENSG00000186092.4	OR4F5	0.045494	0.103119	0
ENSG00000238009.6	RP11-34P13.7	0.019005	0.334056	0
ENSG00000233750.3	CICP27	0.0241189	0.795466	0
ENSG00000268903.1	RP11-34P13.15	3.411975	134.312	18
ENSG00000269981.1	RP11-34P13.16	5.385104999999999	194.869	32
ENSG00000239906.1	RP11-34P13.14	0.0	6.70072	2
ENSG00000241860.6	RP11-34P13.13	0.1285145	0.278667	0
ENSG00000222623.1	RNU6-1100P	0.0	0.0	0
ENSG00000241599.1	RP11-34P13.9	0.0	0.0	0
ENSG00000279928.2	ABC7-43046700E7.1	0.057767650000000004	3.68669	0
ENSG00000279457.4	RP11-34P13.18	6.7550550000000005	16.5591	38
ENSG00000273874.1	MIR6859-2	0.0	0.0	0
ENSG00000228463.9	AP006222.2	0.35677000000000003	1.31141	0
ENSG00000236679.2	RPL23AP24	0.07469715	0.195951	0
ENSG00000236743.1	RP5-857K21.15	0.0	0.0	0
ENSG00000236601.2	RP4-669L17.2	0.0	0.0378431	0
ENSG00000237094.11	RP4-669L17.10	0.1932365	2.44792	0
ENSG00000269732.1	WBP1LP7	0.0	0.122446	0
ENSG00000278566.1	OR4F29	0.0386873	0.0681476	0
ENSG00000233653.3	CICP7	0.0	0.0154108	0
ENSG00000250575.1	RP4-669L17.8	0.015148700000000001	0.3369	0
ENSG00000230021.8	RP5-857K21.4	0.0431791	0.31243	0
ENSG00000235146.2	RP5-857K21.2	0.0	0.0	0
ENSG00000225972.1	MTND1P23	9.362480000000001	19.0731	47
ENSG00000225630.1	MTND2P28	757.489	1590.86	56
ENSG00000237973.1	MTCO1P12	47.706100000000006	166.656	56
ENSG00000229344.1	MTCO2P12	13.150400000000001	33.5292	55
ENSG00000240409.1	MTATP8P1	13.133600000000001	32.3743	55
ENSG00000248527.1	MTATP6P1	3518.645	8226.45	56
ENSG00000198744.5	MTCO3P12	18.592100000000002	49.1331	55
ENSG00000268663.1	WBP1LP6	0.0	0.0729303	0
ENSG00000273547.1	OR4F16	0.0281948	0.0570243	0
ENSG00000283574.1	RP11-206L10.17	0.0	0.0	0
ENSG00000229376.3	CICP3	0.1218095	0.384186	0
ENSG00000228327.3	RP11-206L10.2	2.0030099999999997	11.976	2
ENSG00000223181.1	RNU6-1199P	0.0	0.0	0
ENSG00000229905.1	RP11-206L10.4	0.0	0.0700903	0
ENSG00000237491.8	RP11-206L10.9	0.617792	4.03599	0
ENSG00000230092.7	RP11-206L10.8	1.07006	2.38312	0
ENSG00000177757.2	FAM87B	0.580303	1.91972	0
ENSG00000228794.8	LINC01128	5.943849999999999	24.4633	32
ENSG00000225880.5	LINC00115	4.151339999999999	12.837	22
ENSG00000230368.2	FAM41C	0.06999530000000001	0.557261	0
ENSG00000234711.1	TUBB8P11	0.08139335	0.375897	0
ENSG00000283040.1	FAM166AP3	0.0	0.124018	0
ENSG00000272438.1	RP11-54O7.16	0.3293355	2.91963	0
ENSG00000230699.2	RP11-54O7.1	0.2344025	2.32991	0
