chr	start	end	gene_name	gene_type	gene_len	gene_len_500	RS_value	RS_500_value	phast_value	phast_500_value	phylo_value	phylo_500_value	iHS_GBR_max_500	expected_iHS	iHS_snps_per_gene	pval_iHS_max	pval_iHS_max_fdr	DRC150	SDS	DRC150_signif_snp_count	oe_lof_upper	pLI	mis_z	GO_BP_Count	GO_MF_Count	interactors_bg	n_interactions	ENSG_from_GTEx	median_expr_all_tissues	max_expr_all_tissues	num_tissues_at_least_5_TPM
chr1	2985731	3355185	PRDM16	protein_coding	369454	370454	-0.7572899370422299	-0.7558619674777435	0.0477483232012645	0.0479054727442543	-0.1706065626573267	-0.1683899701447413	5.058	3.4755463329069523	3923.0	0.0008306961960865	0.0475673126151503	0.00162567	2.012021685	0	0.187	0.99999	1.3471	13.0	14.0	{'HIST3H3', 'DDX49', 'SLC25A11', 'KLF12', 'TARS', 'TXLNA', 'SUPT16H', 'KPNA2', 'ATP5F1', 'ACTR3', 'NFIA', 'ARRB2', 'RBBP7', 'PFKP', 'DDX58', 'FXR1', 'XRCC5', 'NOP58', 'RUNX1T1', 'TUBA1C', 'SLC3A2', 'TUFM', 'CDC5L', 'MBD3', 'PLRG1', 'RBBP4', 'TECR', 'DDX47', 'MYO1C', 'EIF3D', 'RFC1', 'LENG8', 'RBM39', 'MID2', 'DNAJB6', 'ATP2A2', 'ABCF2', 'GLMN', 'RPN1', 'SOX6', 'CUL3', 'RCOR1', 'SOX7', 'P4HA1', 'XRCC6', 'ATP5O', 'UHRF1', 'RIOK2', 'HIST2H3C', 'AP1M1', 'ATAD3A', 'HSPA5', 'HADHA', 'ACTR1A', 'PSMC2', 'TIMM50', 'PHIP', 'RPA2', 'DDX6', 'CAPN1', 'FXR2', 'ATAD3B', 'PLK4', 'DNAJA3', 'TRIO', 'NDUFA4', 'CYFIP1', 'TFAP4', 'COPB1', 'SKIV2L2', 'GATAD2A', 'LONRF1', 'TMEM165', 'MCM6', 'C14orf166', 'SON', 'PRSS3', 'NDUFS3', 'PRDM16', 'PARP1', 'KLF3', 'HP1BP3', 'ARRB1', 'RPL5', 'ZNF512', 'COPA', 'PDHB', 'COX5A', 'H2AFY', 'ATP5J2', 'SNRPD1', 'MAGED2', 'C6orf165', 'SAFB2', 'PSIP1', 'MIPOL1', 'IMMT', 'RPS26', 'PPP1CB', 'ATP5H', 'FAM120A', 'GAPDHS', 'TCHP', 'DMBT1', 'NFIB', 'GSC', 'NCAPH', 'HSPA6', 'CHD4', 'HDAC1', 'PFKL', 'PPP2CA', 'MYO1B', 'HIST1H3A', 'RCN2', 'EGR2', 'CLTC', 'EIF3L', 'ATP1A1', 'TOP3B', 'CSNK2A1', 'CSNK2B', 'RPA1', 'MCM7', 'S100A14', 'RPA3', 'EIF3C', 'SENP3', 'PSMD3', 'NFIC', 'CTBP1', 'HIST1H2BJ', 'CCDC13', 'RBM14', 'USP7', 'NDUFA9', 'HOXB2', 'ARHGEF2', 'BTBD17', 'GATAD2B', 'SMAD2', 'SKI', 'MTA1', 'CSNK2A2', 'RCOR2', 'TPX2', 'GNL3', 'THOC2', 'BAZ1B', 'ZNF516', 'IQGAP1', 'DLGAP4', 'ATP5J', 'SLC25A13', 'IQGAP3', 'TOP1', 'SSRP1', 'RPS7', 'NAT10', 'TSG101', 'NFIX', 'CTBP2', 'SMARCA5', 'NAP1L1', 'NUP93', 'HMGA1', 'TUBB6', 'ELK3', 'CYC1', 'WDR26', 'WDR11', 'TEX10', 'SPDEF', 'MAP1B', 'SAMHD1', 'SMAD3', 'TBL3', 'AP2M1', 'KHDRBS1', 'EIF3E', 'POLR3C', 'AKAP8', 'COPE', 'LTV1', 'NEK6', 'CBX3', 'MTA2', 'RPS27A', 'HDAC2', 'ACOT8', 'NOP56', 'CRX', 'ACTR2', 'TUBA4A', 'XPA'}	208.0	ENSG00000142611.16	1.95843	37.2305	9.0
chr1	6845383	7829766	CAMTA1	protein_coding	984383	985383	-0.3908576648519936	-0.3902520285005931	0.0600013196083231	0.0601010236628803	0.0058117887041933	0.0064245222416055	6.415	3.646109384504486	7512.0	5.289307059008763e-07	0.0001841652839707	0.0015089	2.571303097	0	0.172	1.0	3.2619	4.0	3.0	{'IPO5', 'TRIM25', 'HNRNPH1', 'CHCHD4', 'AIFM1', 'PEX14', 'ALB', 'HNRNPL'}	8.0	ENSG00000171735.18	7.944495	52.8215	46.0
chr1	27681674	27693383	MAP3K6	protein_coding	11709	12709	0.3084639599453411	0.2825689486190888	0.150104364164318	0.1447327877881816	0.8313118114271073	0.7706033519553073	5.089	2.371853329412072	113.0	2.033734368100948e-05	0.0027635114307708		1.717980326	0	0.768	1.0532e-16	1.2379	5.0	5.0	{'HSP90AB4P', 'TNFSF13B', 'USP4', 'DHFR', 'D2HGDH', 'HSP90AA4P', 'GDPD3', 'AFG3L2', 'UBAC1', 'MAPK4', 'SHMT2', 'FBXW11', 'S100P', 'YWHAG', 'LIMCH1', 'AGL', 'LIMD1', 'CDC37', 'SERPINB3', 'XRCC5', 'HRAS', 'PRKAA2', 'UBXN6', 'ACTB', 'RNF123', 'PEX5', 'FKBP5', 'PCDHA4', 'MAP3K5', 'KRT2', 'MAP2K3', 'HNRNPCL2', 'NUDCD2', 'METTL21B', 'ASPM', 'PRKAB2', 'SPPL3', 'CLEC16A', 'PLEKHO2', 'TGM1', 'PCDHA12', 'ACTA2', 'SFN', 'HSP90AA5P', 'ERGIC2', 'NPRL2', 'HAL', 'YWHAH', 'HSP90AA1'}	65.0	ENSG00000142733.14	32.2157	118.184	49.0
chr1	28052489	28089633	FAM76A	protein_coding	37144	38144	0.1859315802013784	0.1813264169200923	0.1128479700624596	0.1131028471057046	0.3324883157441309	0.3290572567114094	4.83	2.5959141893929583	212.0	0.0001447146107702	0.0125347744816248		-0.8631506189	0	0.932	1.0407e-05	1.8151			{'MFAP1', 'YY1', 'SUV420H2', 'G3BP2', 'ELAVL1', 'PPP1R10', 'NSRP1', 'PRPF38A', 'PRPF4B', 'SMC3', 'FAM76B', 'ZRANB1', 'CSNK1D', 'PRPF40A', 'DDX42', 'SPTLC1', 'TOX4', 'ATXN2L', 'CCNL1'}	19.0	ENSG00000009780.15	8.460265	21.7683	41.0
chr1	29213602	29446553	EPB41	protein_coding	232951	233951	0.2014180126292653	0.202595654132703	0.1286102485071968	0.1288312723604515	0.2519007087327378	0.2524979290535197	5.318	3.169556531961468	1310.0	6.87163560579851e-05	0.0069479269932329	0.00158385	2.089194078	0	0.519	3.5942e-05	0.92183	9.0	7.0	{'EPB41L3', 'NPPA', 'YAP1', 'PFAS', 'PPIA', 'HULC', 'KRT222', 'EIF3G', 'SF3A1', 'KPNA2', 'C11orf52', 'ZCCHC10', 'VARS', 'SMC5', 'CAV1', 'TRIM25', 'HSPA8', 'SERBP1', 'CA2', 'YWHAE', 'CCT8', 'SPTB', 'ECHS1', 'UFL1', 'PLEKHA4', 'CASK', 'HNRNPL', 'RHOD', 'RAB35', 'TGOLN2', 'FLOT1', 'CENPJ', 'KCNA3', 'ESR1', 'MYH9', 'SEC62', 'CIC', 'GRIA4', 'DYNC1LI2', 'DCAF15', 'NECAP1', 'EZR', 'TNIP1', 'EEF2K', 'WWC1', 'ZRANB1', 'RAB25', 'TRIM67', 'SF1', 'MED4', 'ALK', 'ARF6', 'MAPT', 'STX6', 'OCLN', 'FN1', 'CDC123', 'CDH1', 'RAB11A', 'FLNA', 'PHLPP1', 'CDK2', 'CKMT1B', 'CHEK2', 'TIPARP', 'GBF1', 'FMNL2', 'PARK2', 'DCTN1', 'RWDD2B', 'NTRK1', 'DLG1', 'TJP2', 'NAA40', 'CCNF', 'RNPS1', 'ABCE1', 'ARL14', 'KDM4C', 'YWHAH', 'MARCKS', 'UBE2M', 'AXL', 'KRAS', 'C2CD2', 'TAGLN2', 'MIDN', 'YWHAQ', 'RNF10', 'TP53', 'EPB41L1', 'NUMA1', 'RHOG', 'YWHAG', 'DYNC1H1', 'HRAS', 'CLNS1A', 'ESR2', 'BRD4', 'RHOF', 'LYN', 'RICTOR', 'USP11', 'PAICS', 'NRAS', 'YWHAZ', 'SPTAN1', 'WDR3', 'OPTN', 'LAMP1', 'MCAM', 'WHSC1L1', 'WWTR1', 'TMOD1', 'SF3A3', 'CALR'}	135.0	ENSG00000159023.19	8.74334	91.482	43.0
chr1	32192717	32230494	BAI2	protein_coding	37777	38777	0.2516944580035471	0.2625845400624081	0.1392366519310691	0.1417842793408464	0.6439127246737433	0.6439451478969492	4.914	2.641070056824937	242.0	0.0001079706614914	0.010083281921543		1.935227479	0	0.249	0.99982	4.4865			{'SHANK1', 'DLG4', 'GIP', 'S100P', 'STARD13', 'TOP3B', 'SNTA1', 'APEX1', 'ANLN', 'PRC1'}	12.0				
chr1	57460450	59012406	DAB1	protein_coding	1551956	1552956	-0.1452878749784143	-0.1455231094763792	0.0668987729033555	0.0668893168898539	0.1014419977112753	0.1013646658372806	5.412	3.784011017010801	12960.0	0.000403782450142	0.0285209363465389	0.00171117	2.86310447	0	0.215	0.99915	1.5184	23.0	2.0	{'SMAP2', 'TOLLIP', 'LRP1', 'KRTAP19-7', 'HDLBP', 'APLP2', 'ZCCHC10', 'ZNF488', 'PIN1', 'NCK2', 'WDYHV1', 'ERBB3', 'MBNL3', 'RBFOX2', 'CLASP1', 'APLP1', 'SH3KBP1', 'PPIG', 'CLASP2', 'ZBTB32', 'MAPK14', 'HNRNPL', 'TUBB2A', 'ERBB2', 'ZC3H10', 'ARID5A', 'FAM103A1', 'MAGED1', 'SOCS6', 'MANF', 'RELN', 'BCL6', 'HMBOX1', 'VLDLR', 'TRIM40', 'C1orf94', 'RBFOX1', 'TCEA2', 'SERF2', 'TRIM67', 'APP', 'RAF1', 'FAM168A', 'CLASRP', 'LRP8', 'VENTX', 'SNRPB', 'PAFAH1B1', 'CDK5', 'DAZAP2', 'USP53', 'NAF1', 'LGALS9B', 'MKRN2', 'SOCS1', 'INPP5D', 'SIAH1', 'KRTAP19-5', 'BHLHE40', 'CRKL', 'HNRNPLL', 'CIART', 'MYO6', 'POGZ', 'TMTC3', 'SIRPB1', 'NCK1', 'PRR20A', 'LDLR', 'NOTCH1', 'SOCS7', 'CDK6', 'CRK', 'TCEANC', 'LGALS9C', 'RHOXF2', 'ROR2', 'STRBP', 'SOCS3', 'LNX1', 'ITSN1', 'MBNL1', 'KRTAP8-1', 'LRP2', 'HYAL3'}	116.0	ENSG00000173406.15	0.6350045	23.6614	5.0
chr1	81771844	82458120	LPHN2	protein_coding	686276	687276	0.2875201166877466	0.2881614504216646	0.1116647252708822	0.1117305274736787	0.4072522235951716	0.4076417334520629	5.779	3.575523229345884	5722.0	2.14990187218378e-05	0.0028832261034686	0.001603	3.186872734	0	0.113	1.0	1.2236			{'GJD3', 'RND1', 'ALDOA', 'RHOQ', 'RHOJ', 'C11orf52', 'CDC42', 'ARL13B', 'IRF3', 'TRIM66', 'SLC38A1', 'CAV1', 'RPS6KA2', 'RHOB', 'EPHA7', 'CUL4A', 'STX4', 'MLLT4', 'PLEKHA4', 'RAC3', 'TMEM216', 'RND2', 'BCAR1', 'RAC2', 'RHOD', 'CKB', 'RAB35', 'ARL4C', 'ENO1', 'MIB1', 'FLOT1', 'KCNA3', 'CLN3', 'PTPRO', 'TMEM17', 'CTDSPL', 'FAM105A', 'LAMTOR1', 'BRD8', 'ALK', 'RAC1', 'ARF6', 'EPHA2', 'STX6', 'OCLN', 'CDC123', 'CDH1', 'ARL15', 'EPHA4', 'LMBR1L', 'DNAJC25', 'NTRK1', 'DNAJC5B', 'NTRK2', 'TNIP2', 'SLC15A4', 'CCNF', 'PARD3', 'UNC93B1', 'ZFPL1', 'MARCKS', 'KRAS', 'HSPA12B', 'NCK1', 'SHANK1', 'RHOG', 'TMPRSS11B', 'FLRT1', 'MEX3A', 'RHOF', 'LYN', 'RAB7A', 'GJA1', 'CANX', 'CXADR', 'RHOA', 'RAB2A', 'RHOH', 'RHOU', 'LAMP1', 'RND3', 'STX7', 'STYK1', 'DNAJC16', 'DNAJC5', 'DIRAS3'}	89.0				
chr1	113066139	113163447	ST7L	protein_coding	97308	98308	0.3566516484770008	0.3580846355332221	0.1263630431208122	0.1264198742726939	0.3707464340033707	0.3705743683118363	5.612	2.990040973129833	717.0	7.170025870251173e-06	0.0012669860479305	0.00192048	1.713996939	0	0.868	2.2024e-09	0.58284	1.0	0.0	{'SLC4A8', 'PCDHGB4', 'PCDHGC4', 'TTYH1', 'KCNS3', 'RNF5', 'GABRA6', 'GABRD', 'C3orf52', 'CHRND', 'IL17RB', 'MCOLN3', 'PCDHB11', 'SLC17A2', 'SIDT2', 'TNFRSF10A', 'MS4A15', 'RXFP1', 'SOX2', 'ZNRF4', 'RNF185', 'KCNA2', 'TMEM57', 'OR10H2', 'PCDHB7', 'KIR3DL2', 'PTCHD3', 'SLCO4C1', 'SPPL3', 'ABCA2', 'SCAP', 'FAM189B', 'SLC39A8', 'ST7', 'MARCH4', 'PCDHB6', 'LRRN2', 'RNF170'}	54.0	ENSG00000007341.18	4.80738	23.716	26.0
chr1	117910070	118071494	MAN1A2	protein_coding	161424	162424	-0.0401711823830409	-0.0408347400876717	0.0928448371989295	0.0928438223415258	0.1820917893250074	0.1824405321873614	4.89	3.1232086556279066	1118.0	0.0005635144233955	0.0362711213575036	0.00185947	1.844382765	0	0.235	0.99892	2.5642	7.0	2.0	{'UBE3B', 'C5AR2', 'CHRNB4', 'CHRNB2', 'TTYH1', 'ATP5C1', 'CDC123', 'CD1A', 'TGOLN2', 'FBXW10', 'TNFSF18', 'TRHDE', 'ESR1', 'IL13RA2', 'ADAM32', 'TLR5', 'NRSN1', 'KIAA1429', 'PTPRO', 'PMEL', 'ESR2', 'TSPAN15', 'BSG', 'PARK2', 'C4orf32', 'B4GAT1', 'CD1E', 'MAGEA8', 'RNF4', 'SMAD9', 'RBM11', 'TMED2', 'SCGB2A2', 'TMEM30B', 'PLEKHA4', 'HNRNPH1', 'SCARA3', 'CLDND1', 'CD1B', 'ATP2A3', 'TMEM59', 'TMED10', 'NIPAL1', 'CLU'}	60.0	ENSG00000198162.12	11.19315	21.7789	53.0
